epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,47.7729,2.00533,2.71328,1.1623,0.99474,0.74253,0.66271,0.73103,0.27054,0.79831,0.758,0.84638,0.25214,2.3686,3.14685,1.19764,1.24129,0.000818904,0.000818904,0.000818904
31,49.0166,1.95481,2.42076,1.17226,0.98531,0.74253,0.66271,0.73103,0.27054,0.79831,0.758,0.84638,0.25214,2.3686,3.14685,1.19764,1.24129,0.000845801,0.000845801,0.000845801
32,50.3529,1.8341,2.47141,1.11302,0.98433,0.65473,0.7179,0.69632,0.24797,0.75312,0.84956,0.85679,0.28424,2.46264,2.96744,1.58629,1.28716,0.000872641,0.000872641,0.000872641
33,51.6045,1.82106,2.34648,1.14311,1.00217,0.80043,0.8327,0.87659,0.35262,0.81481,0.88651,0.86278,0.32214,2.10722,2.27627,0.99967,1.09387,0.000899424,0.000899424,0.000899424
34,52.8646,1.86534,2.45169,1.09309,0.98419,0.80043,0.8327,0.87659,0.35262,0.81481,0.88651,0.86278,0.32214,2.10722,2.27627,0.99967,1.09387,0.000926151,0.000926151,0.000926151
35,54.1253,1.87332,2.33434,1.01244,0.9833,0.91577,0.85883,0.94022,0.48131,0.90873,0.85903,0.92811,0.37684,1.75321,2.15068,0.96957,0.98095,0.000952821,0.000952821,0.000952821
36,55.452,1.79998,2.35679,1.07486,0.96994,0.84663,0.79322,0.87134,0.4055,0.70526,0.71839,0.71523,0.2294,1.91614,3.0726,1.25152,1.01002,0.000979434,0.000979434,0.000979434
37,56.7323,1.94841,2.81993,1.12248,0.98043,0.84663,0.79322,0.87134,0.4055,0.70526,0.71839,0.71523,0.2294,1.91614,3.0726,1.25152,1.01002,0.00100599,0.00100599,0.00100599
38,58.0006,1.81358,2.77265,1.03144,1.03204,0.91262,0.7518,0.89293,0.45702,0.77231,0.83338,0.87328,0.35775,1.64505,2.24605,0.99128,0.96654,0.00103249,0.00103249,0.00103249
39,59.279,1.85233,2.48034,0.99443,0.96522,0.87621,0.8536,0.89961,0.40123,0.78342,0.81264,0.84689,0.31493,1.90014,3.07885,1.10852,1.01919,0.00105894,0.00105894,0.00105894
